Khowar,English
روغیَ ,backwards
چیرییان ن و رَوغیَ موَََانچر۔,Don't put your shoes on the wrong feet.
ن وریکَ ,to separate into groups
ن ری کا نو اسوئی۔,No one has separated
ن وژان ,  strange; unknown; unfamiliar
ن وژان موشَ مہ شاناَََہائی۔ , A strange (unknown) man came to my courtyard.
نوغَ کاَ گیٹےَََاسونیا؟,Has anyone new come?
نوغورَ پیڅھونوَ بیٹےَََشیٹی۔,The forts have been abandoned.
نوکیھََ , small wooden water; conduit; drain
بݰَیر۔َ,Fix the drain and make it ready
ن وما , later
َََ ہتیت نوماَ گونیان۔,They haven't come yet.
َ نوما،َدار بتَ درے۔,Not yet - wait for a little while.
نوویس , nephew; niece; grandchild 
بیہیل کوریتائی۔َ,The grandfather summoned his geandchild
نوغ نوَنوئیتائی۔,The new moon did not appear/has not
ن ویریک , to sort; to; exclude; boycott;
ویریَتُام۔,I separated out the rotten eggs.
نیرییَکَ , to take out; to take (a photograph); to solve;
چاقوؤ ئ َََنیرییتائی۔,S/he took out the knife.
 نیوہ  ,nine
نیوہَ ژون اشٹوک کونیان۔َ,Nine people are playing/dancing.
تنَ ہردیو لوؤَمہ گوناَ ئ نیتائی۔,S/he disclosed to me what was in her/his
واژَ موٹو بیٹےَ شیر۔ پاغی انگتر۔,The adze has become dull - go sharpen it.
واَغَ , price; rate;
ہیہ کتابو واغَکندوری؟,What is the price of this book?
واؤَ ݰپیکَ ژیبیکوبیکوَنوَبویان۔,The old woman can't eat (because of
بوئیکوَورا زن چھیٹےَ شیر۔,The bird’s wing is broken.
 ورازئی , pillow
ورازئیَ پسٹےَ اریر۔,The pillow was too low (i.e. thin).
ورانگ , skin of goat softened and worn 
پژالو کریم توَ ورانگَشیر۔,The shepherd has a skin cloak
 وریݱنوَ صحتوَ بچے جم بیرائی۔,(They say) garlic is good for the health.
ورینځ , sharp; piercing pain in chest or back
َورینځ ݯوگَََشیر۔,I have a sharp pain in my chest.
وَقھیک ,to bark; to talk; nonsense
ریٹیَ وقھیران۔,The dog is barking.
مَائنانتےَ ول بیک کیہَاسقانا؟,Do you think it is easy to keep a lookout for
گمبوریوَووری کھوٹ اریر۔,The fragrance of the flowers intoxicated (someone). 
وو شنَ ,broom made of twigs
َََ وو شن کوئی بغائی۔,The broom is lost somewhere.
َََ وو شون کوئی بغائی؟َ,
ووݰیکََ , postposition; side; toward
وولٹیََ دوروَووݰیکَََبیمان۔,I am going toward (my) home.
گَ وولٹیَ رایہ ا رو؟,In which direction have you set out? 
 ہتیت نوَزاؤنیان۔ , They aren't agreeing (to what is being asked of them).
ویݰیئَکَ , to send (a person); to marry off 
 ہݰَمہ کیہ نو بوئی۔,S/he is no relation to me.
زا روؤَ ہش نو تروران۔,The old person's mind/memory is not
ہݰ لوَموَ دیت۔َ,Don't say such things.
اوا پشاوراَ ہل بومان۔,I live in Peshawar.
ہل مستَ , lightning; strike/bolt
ہل مسیےَیوما خومیتائی۔,Lightning struck on the mountain. 
ہمال ,equinox
بو سونوَ ہمالَ اکیسَمارچہ ت رور۔,The spring equinox comes on March
. ہموݰَ , like this
اَ نو دیٹےَ اسور۔,No one has said anything like this.
َََ ہموݰ کوری ضائعَمو کوَ۔َ ,Don't waste it like this!
 ہموئیَ,  this 
َََ ہݰَ ہموئی تنَدورا توریتائی۔,By now s/he has reached his/her home.
َََ ہیمَ روئی کیائیَََ بونیان؟َ,What are these people doing!? (i.e.
موَدیت۔َ,Don't go and say these things anywhere
ہمیت , these (animate ; inanimate)
َََ ہمیت نوَ ن شینیان۔, they are not sitting
َََ ہمیتَمہَ کورما نوَہائی۔َ,These (things) weren't useful for me
چنگیر۔,S/he always tells lies.
ہنونَمینو کاَ نییک۔,There are no guests today. 
ہواز , voice; sound
ہوازَمہ کارا نو پرائی۔,I didn't hear the sound/voice.
اواَ دواہتوَ ہوریتُام۔,I opened the door.
ہوسَتَ ,hand
ہوستو پونج چموٹ بوئی۔ , A hand has five fingers. (There are five fingers on a hand.)
ہوݰ کوریکَ , to recognize; understand
نوَاواَمینوؤَہوݰَنوَاریتَاریتام۔,I didn't recognize the guest.
سینوہونَگیتیَسینوَبوتیتائی۔َ,A flood came and blocked the
ہیمݯھییےاراَیومونوَہیمَکوئی۔,In Chitral it snows in winter.
ہیہ , this; this/he/she; (near; visible)
ہیہ ریڈیو جازیرَ بیتیَشیر۔,This radio is out of order/not
ہیس تہَخوشا؟,Do you like him/her/it?
یار,helper; mate; wife
بوئی۔,If one has a good companion/wife life is enjoyable
یکشنبہ ,Sunday 
یکشنبینَشکاری چٹیَ بوئی۔,There is a government holiday on Sunday.
 یو, down here 
یو گتر۔,Come down here.
دَََوَرَہوئی۔,After raining for seven days then the sky
یور کھوئیَ بغائی۔,The sun went into the clouds.
یومونوت امبوہَدار حا جت۔ مہَسار پائسہَوام گٹی ای یورانَہوئی۔,It has been a year since you/someone took the loan from A lot of wood is needed for
یو رو ,blood vessel 
ئ َََگتر۔ یو روَہوستوَسورتو نُایونیان۔,Come up here (toward speaker).
یوزہ ا و شوپیَتام۔,I slipped on the ice.
